Latitude,Longitude,Elevation
-41.6692600,145.9570900,949.0
-41.6692100,145.9568100,961.0
-41.6691300,145.9566600,965.0
-41.6690200,145.9564000,974.0
-41.6687500,145.9563600,975.0
-41.6684600,145.9565900,957.0
-41.6682100,145.9565900,946.0
-41.6680800,145.9566500,940.0
-41.6678300,145.9563500,961.0
-41.6678000,145.9562600,964.0
-41.6677400,145.9561700,965.0
-41.6674100,145.9560700,953.0
-41.6672100,145.9560500,949.0
-41.6669700,145.9561400,950.0
-41.6666400,145.9563900,952.0
-41.6665600,145.9567000,948.0
-41.6665800,145.9569100,945.0
-41.6665700,145.9571200,943.0
-41.6665300,145.9572500,942.0
-41.6664800,145.9572500,942.0
-41.6664000,145.9572900,942.0
-41.6662900,145.9574400,942.0
-41.6661600,145.9576000,943.0
-41.6660500,145.9577500,944.0
-41.6659700,145.9577900,945.0
-41.6658900,145.9578200,946.0
-41.6658400,145.9579600,946.0
-41.6657900,145.9580400,946.0
-41.6657900,145.9582000,947.0
-41.6657300,145.9582800,949.0
-41.6656600,145.9582300,950.0
-41.6655800,145.9582400,952.0
-41.6655200,145.9583000,953.0
-41.6654400,145.9583500,956.0
-41.6653300,145.9585300,959.0
-41.6652300,145.9585700,962.0
-41.6650400,145.9586600,967.0
-41.6649400,145.9586600,970.0
-41.6648500,145.9585900,973.0
-41.6643700,145.9587700,985.0
-41.6642500,145.9588800,987.0
-41.6640700,145.9589500,990.0
-41.6638800,145.9590600,993.0
-41.6636500,145.9590600,996.0
-41.6634100,145.9591100,992.0
-41.6630700,145.9590600,984.0
-41.6628600,145.9591800,973.0
-41.6624800,145.9592000,962.0
-41.6622800,145.9590900,960.0
-41.6617600,145.9591300,945.0
-41.6616400,145.9592200,940.0
-41.6614600,145.9592000,939.0
-41.6613700,145.9590100,939.0
-41.6613600,145.9588000,942.0
-41.6612800,145.9582600,953.0
-41.6609300,145.9580800,948.0
-41.6607100,145.9579600,945.0
-41.6605800,145.9578600,945.0
-41.6604100,145.9577600,943.0
-41.6601600,145.9576800,943.0
-41.6599400,145.9574700,951.0
-41.6597300,145.9574200,950.0
-41.6595300,145.9573600,949.0
-41.6594500,145.9572900,950.0
-41.6591200,145.9571600,947.0
-41.6586900,145.9570900,949.0
-41.6585000,145.9570900,949.0
-41.6583500,145.9570500,950.0
-41.6582200,145.9570500,951.0
-41.6578400,145.9571700,954.0
-41.6577100,145.9571700,955.0
-41.6576600,145.9572100,955.0
-41.6575100,145.9572300,955.0
-41.6572700,145.9573400,954.0
-41.6571200,145.9573600,955.0
-41.6569800,145.9574200,955.0
-41.6567800,145.9574100,956.0
-41.6561200,145.9575800,956.0
-41.6557500,145.9577900,949.0
-41.6554900,145.9580000,946.0
-41.6554300,145.9580900,946.0
-41.6553600,145.9581200,945.0
-41.6552400,145.9581800,945.0
-41.6551600,145.9582200,944.0
-41.6550300,145.9582700,943.0
-41.6548600,145.9584900,941.0
-41.6546900,145.9586600,940.0
-41.6545600,145.9587400,940.0
-41.6539700,145.9592700,940.0
-41.6538100,145.9594500,940.0
-41.6537300,145.9594800,940.0
-41.6536800,145.9594100,940.0
-41.6535900,145.9594200,941.0
-41.6535400,145.9594200,941.0
-41.6534900,145.9594300,941.0
-41.6534300,145.9594800,941.0
-41.6531200,145.9594100,944.0
-41.6530000,145.9593000,946.0
-41.6529100,145.9592200,947.0
-41.6528200,145.9591200,949.0
-41.6527100,145.9589600,950.0
-41.6526400,145.9587800,951.0
-41.6525500,145.9586300,952.0
-41.6524300,145.9586100,952.0
-41.6522900,145.9586200,953.0
-41.6521900,145.9585700,954.0
-41.6520700,145.9590900,954.0
-41.6520100,145.9592900,954.0
-41.6519700,145.9595200,952.0
-41.6518600,145.9597100,951.0
-41.6519000,145.9600100,947.0
-41.6518800,145.9602000,945.0
-41.6518200,145.9604900,942.0
